Contexto.Precedente,Ocorrencia,Contexto.Seguinte,faixa.etaria,sexo.genero,registro,amostra
FOto pRA FILmar aí uma vez,a gente<G>,saiu de BARILOche fumos pra,3,H,DID,II
Nível do Mar só que quando,a gente<G>,volto pra Machu Picchu a,3,H,DID,II
a gente<G> volto pra Machu Picchu,a gente<G>,voltOU por Puno/Puno é qUAtro,3,H,DID,II
Mais eles tem aqueles traços que,a gente<G>,vê nos documentários aquela coisa,3,H,DID,II
é o CAminho pRA Machu Picchu,a gENTE<G>,passou lá em AREquIPA dois,3,H,DID,II
CoRUMbá/Corumbá e tinha um passeio/passeio não,a gente<G>,ENtrava no baRCO pra poder,3,H,DID,II
Doc. - Agora sabe pra onde,a gente<G>,estava querendo viajar pra Campos,3,H,DID,II
CAro também caro  Doc. -,a gente<G>,comprou pra Europa nossa a,3,H,DID,II
a gente<G> comprou pra Europa nossa,a gente<G>,comprou a passagem ida e,3,H,DID,II
certo numa hora faz um lanche,a gente<G>,também não tem besteira não,3,H,DID,II
Doc. - faz sentido e agora,a gente<G>,ta pensando em fazer assim,3,H,DID,II
gente<G> ta pensando em fazer assim,a gente<G>,passa só uns três dias,3,H,DID,II
Bia mora lá Né e aí,a gente<G>,ta querendo alugar um carro,3,H,DID,II
carro estava vendo super barato que,a gente<G>,foi ver o aluguel do,3,H,DID,II
Deus PORque da ULtima vEZ que,a gente<G>,vei eu pegUEI tudo AUtomático,3,H,DID,II
pego e aTROpela ALguém ENtão lá né,a gente<G>,VINha Isso Lá Na ItálIA,3,H,DID,II
na Luciana que ficOU PUta aí,a gENTE<G>,VINha na EStrada e Tal,3,H,DID,II
fui pra Europa com os meninos,a gente<G>,ficou num hostel em Lisboa(,3,H,DID,II
foi falar com o taxista e,a gente<G>,não entendia o que ele,3,H,DID,II
fudido o cara falando português e,a gente<G>,((risos)) você pode falar de,3,H,DID,II
) ela só tava perguntando se,a gente<G>,gostaria que ela limpasse o,3,H,DID,II
quUE Era OUtra cOIsa áh::pois é,a gENTE<G>,ACAba  Doc. - aí,3,H,DID,II
ok  Inf. - pois é,a gente<G>,ACAba pagANDO Uns micozINHOS mais,3,H,DID,II
- eu lembrei também Paris onde,a gente<G>,chegava só pedia pizza (,3,H,DID,II
a cozinhAR ENtão de veEZ enquANDO,a gente<G>,INventa uma cOISInha  Doc.,3,H,DID,II
de de voluntários pra poder ajuda,a gente<G>,comprar num/num aí ela viu,3,H,DID,II
disse não eu ajudo algumas ComuniDADES,a gente<G>,faz Uma ORIENtação nessa paRTE,3,H,DID,II
isso profissional pra ganhAR dinhEIRO e,a gente<G>,não na VERdade eu disponho,3,H,DID,II
Inf. - e DEpois que,a gENTE<G>,foi FAlar de onde é,3,H,DID,II
lá VINte e CINco anos INclusIVE,a gente<G>,tem projetos que já ganhou,3,H,DID,II
falar sobre a minha vida ...porque,a gente<G>,conse...né...daminha família  né...que eu pre,3,H,DID,II
ceases né...aqui da...da... da né... (como,a gente<G>,diz né)como eu f... meu,3,H,DID,II
teve aqui em Fortale...um dos últimos plalácios,a gente<G>,morava lá )...eh...fiqueicom ele até...bairro...fiquei,3,H,DID,II
a conhecer mais ::te... mais gente...,a gente<G>,..foi...fui ampliando (meus) horizontes (,3,H,DID,II
aí...um temdesse não deu mais ce::rto...,a gente<G>,acabou se divorcia::ndo... e... eu,3,H,DID,II
deles... (é) completamente diferente da gente...,a gente<G>,aqui... idolatra heróis... ou sei,3,H,DID,II
Brasil... pessoal prefere idolatrar Che Guevara...,a gente<G>,não gosta do nossos heróis...,3,H,DID,II
do absurdo... é um negócio assim...,a gente<G>,não cultua os heróis da,3,H,DID,II
( dão declaração lá)... quer dizer...,a gente<G>,aqui não... no Brasil...(pô) principalmente,3,H,DID,II
no Brasil...(pô) principalmente aqui no nordeste...,a gente<G>,não cultua os heróis da,3,H,DID,II
cultua os heróis da gente... nós...,a gente<G>,vive o momento... a gente<G>,3,H,DID,II
nós... a gente<G> vive o momento...,a gente<G>,vive... eu acho... a gente<G>,3,H,DID,II
momento... a gente<G> vive... eu acho...,a gente<G>,vive o luxo... o prédio,3,H,DID,II
tua casa... né... é o que,a gente<G>,dá valor... eu sou assim...,3,H,DID,II
coisa que me dói muito... é,a gente<G>,ter o teatro José de,3,H,DID,II
povo... (quem paga os impostos é,a gente<G>,então...eu...vejo desse jeito... eu acho,3,H,DID,II
doutor”… eu disse… diga: “ doutor,a gente<G>,consegue aí uns cinco mil,3,H,DID,II
mundo tava interessado no dinheiro (que,a gente<G>,ia dar) o que foi,3,H,DID,II
quer dizer... o que é que,a gente<G>,espera do ser humano? a,3,H,DID,II
